Référence;Adresse;Surface (m²);Compte;Propriétaire
790174    A0121;   LA FOSSE AU LOUP 79500 MELLE;16280;+00289; COMMUNE DE SAINT MARTIN LES MELLE   79500 MELLE 
790174    D0022;   VIGNES DES FOSSELIERES 79500 MELLE;1215;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0094;   LOUBEAU 79500 MELLE;1245;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0095;   LOUBEAU 79500 MELLE;3367;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0098;   LOUBEAU 79500 MELLE;1000;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0323;   LOUBEAU 79500 MELLE;1687;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0325;   LOUBEAU 79500 MELLE;3440;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0327;   LOUBEAU 79500 MELLE;1548;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174    D0328;   LOUBEAU 79500 MELLE;15496;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AB0031;   LE COLOMBIER NORD 79500 MELLE;14255;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AC0022;   MORTAIGRE 79500 MELLE;5313;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AC0076;  RUE DU TAPIS VERT 79500 MELLE;56964;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AC0088;   BAS PARCHAIMBAULT 79500 MELLE;2221;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AC0090;0030  RUE DES JONCHERES 79500 MELLE;3040;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AD0013;0010  RUE SAINT PIERRE 79500 MELLE;1139;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AD0122;0008  RUE DE VILLIERS 79500 MELLE;734;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
790174   AD0321;   LE TAPIS VERT 79500 MELLE;1519;+00270; COMMUNE DE MELLE DE LA MAIRIE MELLE  79500 MELLE 
